time_interval_hour,mint_instructions
2022-04-17 11:00:00.000000 UTC,64862
2022-04-17 12:00:00.000000 UTC,65860
2022-04-17 13:00:00.000000 UTC,93186
2022-04-17 14:00:00.000000 UTC,131329
2022-04-17 15:00:00.000000 UTC,128516
2022-04-17 16:00:00.000000 UTC,123920
2022-04-17 17:00:00.000000 UTC,112131
2022-04-17 18:00:00.000000 UTC,158870
2022-04-17 19:00:00.000000 UTC,204335
2022-04-17 20:00:00.000000 UTC,225898
2022-04-17 21:00:00.000000 UTC,253822
2022-04-17 22:00:00.000000 UTC,268065
2022-04-17 23:00:00.000000 UTC,288825
2022-04-18 00:00:00.000000 UTC,315597
2022-04-18 01:00:00.000000 UTC,318521
2022-04-18 02:00:00.000000 UTC,167521
2022-04-18 03:00:00.000000 UTC,53096
2022-04-18 04:00:00.000000 UTC,107046
2022-04-18 05:00:00.000000 UTC,81997
2022-04-18 06:00:00.000000 UTC,76464
2022-04-18 07:00:00.000000 UTC,101988
2022-04-18 08:00:00.000000 UTC,71301
2022-04-18 09:00:00.000000 UTC,82423
2022-04-18 10:00:00.000000 UTC,99033
2022-04-18 11:00:00.000000 UTC,76080
2022-04-18 12:00:00.000000 UTC,93963
2022-04-18 13:00:00.000000 UTC,81855
2022-04-18 14:00:00.000000 UTC,84379
2022-04-18 15:00:00.000000 UTC,85548
2022-04-18 16:00:00.000000 UTC,113340
2022-04-18 17:00:00.000000 UTC,146982
2022-04-18 18:00:00.000000 UTC,222459
2022-04-18 19:00:00.000000 UTC,174593
2022-04-18 20:00:00.000000 UTC,77862
2022-04-18 21:00:00.000000 UTC,74847
2022-04-18 22:00:00.000000 UTC,63855
2022-04-18 23:00:00.000000 UTC,73574
2022-04-19 00:00:00.000000 UTC,111939
2022-04-19 01:00:00.000000 UTC,56849
2022-04-19 02:00:00.000000 UTC,71910
2022-04-19 03:00:00.000000 UTC,57121
2022-04-19 04:00:00.000000 UTC,61407
2022-04-19 05:00:00.000000 UTC,56029
2022-04-19 06:00:00.000000 UTC,62811
2022-04-19 07:00:00.000000 UTC,69845
2022-04-19 08:00:00.000000 UTC,81092
2022-04-19 09:00:00.000000 UTC,100525
2022-04-19 10:00:00.000000 UTC,65938
2022-04-19 11:00:00.000000 UTC,109323
2022-04-19 12:00:00.000000 UTC,136525
2022-04-19 13:00:00.000000 UTC,139544
2022-04-19 14:00:00.000000 UTC,113589
2022-04-19 15:00:00.000000 UTC,127011
2022-04-19 16:00:00.000000 UTC,148191
2022-04-19 17:00:00.000000 UTC,132468
2022-04-19 18:00:00.000000 UTC,111302
2022-04-19 19:00:00.000000 UTC,147185
2022-04-19 20:00:00.000000 UTC,80358
2022-04-19 21:00:00.000000 UTC,54974
2022-04-19 22:00:00.000000 UTC,68757
2022-04-19 23:00:00.000000 UTC,65200
2022-04-20 00:00:00.000000 UTC,86573
2022-04-20 01:00:00.000000 UTC,62367
2022-04-20 02:00:00.000000 UTC,64809
2022-04-20 03:00:00.000000 UTC,68507
2022-04-20 04:00:00.000000 UTC,72538
2022-04-20 05:00:00.000000 UTC,77215
2022-04-20 06:00:00.000000 UTC,82440
2022-04-20 07:00:00.000000 UTC,78051
2022-04-20 08:00:00.000000 UTC,70607
2022-04-20 09:00:00.000000 UTC,74803
2022-04-20 10:00:00.000000 UTC,110314
2022-04-20 11:00:00.000000 UTC,95527
2022-04-20 12:00:00.000000 UTC,94559
2022-04-20 13:00:00.000000 UTC,117363
2022-04-20 14:00:00.000000 UTC,110118
2022-04-20 15:00:00.000000 UTC,121453
2022-04-20 16:00:00.000000 UTC,128483
2022-04-20 17:00:00.000000 UTC,140963
2022-04-20 18:00:00.000000 UTC,194010
2022-04-20 19:00:00.000000 UTC,174627
2022-04-20 20:00:00.000000 UTC,127577
2022-04-20 21:00:00.000000 UTC,75297
2022-04-20 22:00:00.000000 UTC,73101
2022-04-20 23:00:00.000000 UTC,90750
2022-04-21 00:00:00.000000 UTC,80775
2022-04-21 01:00:00.000000 UTC,79517
2022-04-21 02:00:00.000000 UTC,49508
2022-04-21 03:00:00.000000 UTC,79187
2022-04-21 04:00:00.000000 UTC,80054
2022-04-21 05:00:00.000000 UTC,86240
2022-04-21 06:00:00.000000 UTC,102716
2022-04-21 07:00:00.000000 UTC,96597
2022-04-21 08:00:00.000000 UTC,157177
2022-04-21 09:00:00.000000 UTC,191647
2022-04-21 10:00:00.000000 UTC,239879
2022-04-21 11:00:00.000000 UTC,106850
2022-04-21 12:00:00.000000 UTC,132871
2022-04-21 13:00:00.000000 UTC,125324
2022-04-21 14:00:00.000000 UTC,99972
2022-04-21 15:00:00.000000 UTC,132359
2022-04-21 16:00:00.000000 UTC,176315
2022-04-21 17:00:00.000000 UTC,161255
2022-04-21 18:00:00.000000 UTC,159861
2022-04-21 19:00:00.000000 UTC,95782
2022-04-21 20:00:00.000000 UTC,119528
2022-04-21 21:00:00.000000 UTC,123989
2022-04-21 22:00:00.000000 UTC,137077
2022-04-21 23:00:00.000000 UTC,70804
2022-04-22 00:00:00.000000 UTC,102433
2022-04-22 01:00:00.000000 UTC,127449
2022-04-22 02:00:00.000000 UTC,101037
2022-04-22 03:00:00.000000 UTC,55577
2022-04-22 04:00:00.000000 UTC,76751
2022-04-22 05:00:00.000000 UTC,70281
2022-04-22 06:00:00.000000 UTC,86244
2022-04-22 07:00:00.000000 UTC,137711
2022-04-22 08:00:00.000000 UTC,102553
2022-04-22 09:00:00.000000 UTC,137205
2022-04-22 10:00:00.000000 UTC,106304
2022-04-22 11:00:00.000000 UTC,105082
2022-04-22 12:00:00.000000 UTC,113869
2022-04-22 13:00:00.000000 UTC,139754
2022-04-22 14:00:00.000000 UTC,158709
2022-04-22 15:00:00.000000 UTC,205072
2022-04-22 16:00:00.000000 UTC,151136
2022-04-22 17:00:00.000000 UTC,131329
2022-04-22 18:00:00.000000 UTC,111965
2022-04-22 19:00:00.000000 UTC,137462
2022-04-22 20:00:00.000000 UTC,97155
2022-04-22 21:00:00.000000 UTC,95293
2022-04-22 22:00:00.000000 UTC,121593
2022-04-22 23:00:00.000000 UTC,158489
2022-04-23 00:00:00.000000 UTC,160500
2022-04-23 01:00:00.000000 UTC,186700
2022-04-23 02:00:00.000000 UTC,163267
2022-04-23 03:00:00.000000 UTC,128436
2022-04-23 04:00:00.000000 UTC,111934
2022-04-23 05:00:00.000000 UTC,76609
2022-04-23 06:00:00.000000 UTC,77381
2022-04-23 07:00:00.000000 UTC,86349
2022-04-23 08:00:00.000000 UTC,94937
2022-04-23 09:00:00.000000 UTC,115992
2022-04-23 10:00:00.000000 UTC,90762
2022-04-23 11:00:00.000000 UTC,62655
2022-04-23 12:00:00.000000 UTC,113888
2022-04-23 13:00:00.000000 UTC,186742
2022-04-23 14:00:00.000000 UTC,92140
2022-04-23 15:00:00.000000 UTC,84548
2022-04-23 16:00:00.000000 UTC,94666
2022-04-23 17:00:00.000000 UTC,124550
2022-04-23 18:00:00.000000 UTC,117857
2022-04-23 19:00:00.000000 UTC,142685
2022-04-23 20:00:00.000000 UTC,119350
2022-04-23 21:00:00.000000 UTC,184255
2022-04-23 22:00:00.000000 UTC,176454
2022-04-23 23:00:00.000000 UTC,142832
2022-04-24 00:00:00.000000 UTC,193271
2022-04-24 01:00:00.000000 UTC,98336
2022-04-24 02:00:00.000000 UTC,89111
2022-04-24 03:00:00.000000 UTC,73190
2022-04-24 04:00:00.000000 UTC,92234
2022-04-24 05:00:00.000000 UTC,103326
2022-04-24 06:00:00.000000 UTC,122934
2022-04-24 07:00:00.000000 UTC,116490
2022-04-24 08:00:00.000000 UTC,165983
2022-04-24 09:00:00.000000 UTC,82228
2022-04-24 10:00:00.000000 UTC,72393
2022-04-24 11:00:00.000000 UTC,92985
2022-04-24 12:00:00.000000 UTC,90912
2022-04-24 13:00:00.000000 UTC,113075
2022-04-24 14:00:00.000000 UTC,182172
2022-04-24 15:00:00.000000 UTC,113601
2022-04-24 16:00:00.000000 UTC,132901
2022-04-24 17:00:00.000000 UTC,218796
2022-04-24 18:00:00.000000 UTC,131747
2022-04-24 19:00:00.000000 UTC,213792
2022-04-24 20:00:00.000000 UTC,212415
2022-04-24 21:00:00.000000 UTC,221759
2022-04-24 22:00:00.000000 UTC,132209
2022-04-24 23:00:00.000000 UTC,203289
2022-04-25 00:00:00.000000 UTC,169229
2022-04-25 01:00:00.000000 UTC,177041
2022-04-25 02:00:00.000000 UTC,118335
2022-04-25 03:00:00.000000 UTC,66668
2022-04-25 04:00:00.000000 UTC,75825
2022-04-25 05:00:00.000000 UTC,77074
2022-04-25 06:00:00.000000 UTC,100077
2022-04-25 07:00:00.000000 UTC,124439
2022-04-25 08:00:00.000000 UTC,70587
2022-04-25 09:00:00.000000 UTC,107632
2022-04-25 10:00:00.000000 UTC,101768
2022-04-25 11:00:00.000000 UTC,84445
2022-04-25 12:00:00.000000 UTC,87071
2022-04-25 13:00:00.000000 UTC,125966
2022-04-25 14:00:00.000000 UTC,150900
2022-04-25 15:00:00.000000 UTC,97218
2022-04-25 16:00:00.000000 UTC,92851
2022-04-25 17:00:00.000000 UTC,112737
2022-04-25 18:00:00.000000 UTC,277468
2022-04-25 19:00:00.000000 UTC,252726
2022-04-25 20:00:00.000000 UTC,172595
2022-04-25 21:00:00.000000 UTC,156728
2022-04-25 22:00:00.000000 UTC,98260
2022-04-25 23:00:00.000000 UTC,52351
2022-04-26 00:00:00.000000 UTC,56170
2022-04-26 01:00:00.000000 UTC,57698
2022-04-26 02:00:00.000000 UTC,64788
2022-04-26 03:00:00.000000 UTC,80438
2022-04-26 04:00:00.000000 UTC,78504
2022-04-26 05:00:00.000000 UTC,72270
2022-04-26 06:00:00.000000 UTC,78857
2022-04-26 07:00:00.000000 UTC,106076
2022-04-26 08:00:00.000000 UTC,99093
2022-04-26 09:00:00.000000 UTC,105355
2022-04-26 10:00:00.000000 UTC,90755
2022-04-26 11:00:00.000000 UTC,93391
2022-04-26 12:00:00.000000 UTC,127083
2022-04-26 13:00:00.000000 UTC,96619
2022-04-26 14:00:00.000000 UTC,78560
2022-04-26 15:00:00.000000 UTC,85763
2022-04-26 16:00:00.000000 UTC,95213
2022-04-26 17:00:00.000000 UTC,133582
2022-04-26 18:00:00.000000 UTC,151589
2022-04-26 19:00:00.000000 UTC,80357
2022-04-26 20:00:00.000000 UTC,60126
2022-04-26 21:00:00.000000 UTC,54824
2022-04-26 22:00:00.000000 UTC,87149
2022-04-26 23:00:00.000000 UTC,86829
2022-04-27 00:00:00.000000 UTC,98346
2022-04-27 01:00:00.000000 UTC,101743
2022-04-27 02:00:00.000000 UTC,84134
2022-04-27 03:00:00.000000 UTC,65584
2022-04-27 04:00:00.000000 UTC,56453
2022-04-27 05:00:00.000000 UTC,89147
2022-04-27 06:00:00.000000 UTC,124372
2022-04-27 07:00:00.000000 UTC,139050
2022-04-27 08:00:00.000000 UTC,116954
2022-04-27 09:00:00.000000 UTC,98342
2022-04-27 10:00:00.000000 UTC,107205
2022-04-27 11:00:00.000000 UTC,97342
2022-04-27 12:00:00.000000 UTC,98765
2022-04-27 13:00:00.000000 UTC,96890
2022-04-27 14:00:00.000000 UTC,69965
2022-04-27 15:00:00.000000 UTC,155282
2022-04-27 16:00:00.000000 UTC,149571
2022-04-27 17:00:00.000000 UTC,173301
2022-04-27 18:00:00.000000 UTC,211219
2022-04-27 19:00:00.000000 UTC,147906
2022-04-27 20:00:00.000000 UTC,145702
2022-04-27 21:00:00.000000 UTC,140173
2022-04-27 22:00:00.000000 UTC,106206
2022-04-27 23:00:00.000000 UTC,126471
2022-04-28 00:00:00.000000 UTC,132565
2022-04-28 01:00:00.000000 UTC,99813
2022-04-28 02:00:00.000000 UTC,113114
2022-04-28 03:00:00.000000 UTC,138360
2022-04-28 04:00:00.000000 UTC,128551
2022-04-28 05:00:00.000000 UTC,174055
2022-04-28 06:00:00.000000 UTC,119226
2022-04-28 07:00:00.000000 UTC,124727
2022-04-28 08:00:00.000000 UTC,145351
2022-04-28 09:00:00.000000 UTC,140802
2022-04-28 10:00:00.000000 UTC,137046
2022-04-28 11:00:00.000000 UTC,131994
2022-04-28 12:00:00.000000 UTC,105852
2022-04-28 13:00:00.000000 UTC,142686
2022-04-28 14:00:00.000000 UTC,174108
2022-04-28 15:00:00.000000 UTC,145363
2022-04-28 16:00:00.000000 UTC,138639
2022-04-28 17:00:00.000000 UTC,123954
2022-04-28 18:00:00.000000 UTC,201068
2022-04-28 19:00:00.000000 UTC,251887
2022-04-28 20:00:00.000000 UTC,96301
2022-04-28 21:00:00.000000 UTC,186254
2022-04-28 22:00:00.000000 UTC,123645
2022-04-28 23:00:00.000000 UTC,229156
2022-04-29 00:00:00.000000 UTC,270555
2022-04-29 01:00:00.000000 UTC,245041
2022-04-29 02:00:00.000000 UTC,228116
2022-04-29 03:00:00.000000 UTC,229761
2022-04-29 04:00:00.000000 UTC,144108
2022-04-29 05:00:00.000000 UTC,138296
2022-04-29 06:00:00.000000 UTC,148547
2022-04-29 07:00:00.000000 UTC,102336
2022-04-29 08:00:00.000000 UTC,89238
2022-04-29 09:00:00.000000 UTC,89234
2022-04-29 10:00:00.000000 UTC,84571
2022-04-29 11:00:00.000000 UTC,94684
2022-04-29 12:00:00.000000 UTC,148468
2022-04-29 13:00:00.000000 UTC,178512
2022-04-29 14:00:00.000000 UTC,170622
2022-04-29 15:00:00.000000 UTC,147832
2022-04-29 16:00:00.000000 UTC,127773
2022-04-29 17:00:00.000000 UTC,118890
2022-04-29 18:00:00.000000 UTC,135910
2022-04-29 19:00:00.000000 UTC,150966
2022-04-29 20:00:00.000000 UTC,265291
2022-04-29 21:00:00.000000 UTC,318680
2022-04-29 22:00:00.000000 UTC,296839
2022-04-29 23:00:00.000000 UTC,286510
2022-04-30 00:00:00.000000 UTC,315571
2022-04-30 01:00:00.000000 UTC,280593
2022-04-30 02:00:00.000000 UTC,189690
2022-04-30 03:00:00.000000 UTC,281609
2022-04-30 04:00:00.000000 UTC,290518
2022-04-30 05:00:00.000000 UTC,250025
2022-04-30 06:00:00.000000 UTC,197677
2022-04-30 07:00:00.000000 UTC,259788
2022-04-30 08:00:00.000000 UTC,227983
2022-04-30 09:00:00.000000 UTC,133296
2022-04-30 10:00:00.000000 UTC,99103
2022-04-30 11:00:00.000000 UTC,100862
2022-04-30 12:00:00.000000 UTC,133614
2022-04-30 13:00:00.000000 UTC,113054
2022-04-30 14:00:00.000000 UTC,117780
2022-04-30 15:00:00.000000 UTC,122265
2022-04-30 16:00:00.000000 UTC,146427
2022-04-30 17:00:00.000000 UTC,144525
2022-04-30 18:00:00.000000 UTC,176251
2022-04-30 19:00:00.000000 UTC,233801
2022-04-30 20:00:00.000000 UTC,2782
2022-04-30 23:00:00.000000 UTC,145808
2022-05-01 00:00:00.000000 UTC,279940
2022-05-01 01:00:00.000000 UTC,323947
2022-05-01 02:00:00.000000 UTC,47173
2022-05-01 03:00:00.000000 UTC,40432
2022-05-01 04:00:00.000000 UTC,50869
2022-05-01 05:00:00.000000 UTC,68100
2022-05-01 06:00:00.000000 UTC,82287
2022-05-01 07:00:00.000000 UTC,60730
2022-05-01 08:00:00.000000 UTC,56943
2022-05-01 09:00:00.000000 UTC,75929
2022-05-01 10:00:00.000000 UTC,73326
2022-05-01 11:00:00.000000 UTC,61005
2022-05-01 12:00:00.000000 UTC,69859
2022-05-01 13:00:00.000000 UTC,86644
2022-05-01 14:00:00.000000 UTC,82104
2022-05-01 15:00:00.000000 UTC,94104
2022-05-01 16:00:00.000000 UTC,107366
2022-05-01 17:00:00.000000 UTC,99678
2022-05-01 18:00:00.000000 UTC,83974
2022-05-01 19:00:00.000000 UTC,51575
2022-05-01 20:00:00.000000 UTC,76638
2022-05-01 21:00:00.000000 UTC,91539
2022-05-01 22:00:00.000000 UTC,60377
2022-05-01 23:00:00.000000 UTC,77741
2022-05-02 01:00:00.000000 UTC,52462
2022-05-02 02:00:00.000000 UTC,82680
2022-05-02 03:00:00.000000 UTC,109199
2022-05-02 04:00:00.000000 UTC,102387
2022-05-02 05:00:00.000000 UTC,86221
2022-05-02 06:00:00.000000 UTC,101641
2022-05-02 07:00:00.000000 UTC,134796
2022-05-02 08:00:00.000000 UTC,108840
2022-05-02 09:00:00.000000 UTC,82349
2022-05-02 10:00:00.000000 UTC,117596
2022-05-02 11:00:00.000000 UTC,136754
2022-05-02 12:00:00.000000 UTC,111593
2022-05-02 13:00:00.000000 UTC,95708
2022-05-02 14:00:00.000000 UTC,106209
2022-05-02 15:00:00.000000 UTC,134319
2022-05-02 16:00:00.000000 UTC,111841
2022-05-02 17:00:00.000000 UTC,119646
2022-05-02 18:00:00.000000 UTC,115563
2022-05-02 19:00:00.000000 UTC,118815
2022-05-02 20:00:00.000000 UTC,148337
2022-05-02 21:00:00.000000 UTC,118256
2022-05-02 22:00:00.000000 UTC,130012
2022-05-02 23:00:00.000000 UTC,127884
2022-05-03 00:00:00.000000 UTC,156239
2022-05-03 01:00:00.000000 UTC,159013
2022-05-03 02:00:00.000000 UTC,163325
2022-05-03 03:00:00.000000 UTC,169915
2022-05-03 04:00:00.000000 UTC,93473
2022-05-03 05:00:00.000000 UTC,96747
2022-05-03 06:00:00.000000 UTC,88799
2022-05-03 07:00:00.000000 UTC,82348
2022-05-03 08:00:00.000000 UTC,67624
2022-05-03 09:00:00.000000 UTC,92721
2022-05-03 10:00:00.000000 UTC,149621
2022-05-03 11:00:00.000000 UTC,119349
2022-05-03 12:00:00.000000 UTC,118952
2022-05-03 13:00:00.000000 UTC,158639
2022-05-03 14:00:00.000000 UTC,200336
2022-05-03 15:00:00.000000 UTC,185090
2022-05-03 16:00:00.000000 UTC,201063
2022-05-03 17:00:00.000000 UTC,237307
2022-05-03 18:00:00.000000 UTC,225550
2022-05-03 19:00:00.000000 UTC,233331
2022-05-03 20:00:00.000000 UTC,176787
2022-05-03 21:00:00.000000 UTC,206253
2022-05-03 22:00:00.000000 UTC,178498
2022-05-03 23:00:00.000000 UTC,197261
2022-05-04 00:00:00.000000 UTC,130896
2022-05-04 01:00:00.000000 UTC,177056
2022-05-04 02:00:00.000000 UTC,171423
2022-05-04 03:00:00.000000 UTC,171979
2022-05-04 04:00:00.000000 UTC,204831
2022-05-04 05:00:00.000000 UTC,154133
2022-05-04 06:00:00.000000 UTC,122965
2022-05-04 07:00:00.000000 UTC,171627
2022-05-04 08:00:00.000000 UTC,188507
2022-05-04 09:00:00.000000 UTC,178031
2022-05-04 10:00:00.000000 UTC,107103
2022-05-04 11:00:00.000000 UTC,133170
2022-05-04 12:00:00.000000 UTC,188694
2022-05-04 13:00:00.000000 UTC,182642
2022-05-04 14:00:00.000000 UTC,180818
2022-05-04 15:00:00.000000 UTC,143051
2022-05-04 16:00:00.000000 UTC,185829
2022-05-04 17:00:00.000000 UTC,170979
2022-05-04 18:00:00.000000 UTC,160356
2022-05-04 19:00:00.000000 UTC,221724
2022-05-04 20:00:00.000000 UTC,182192
2022-05-04 21:00:00.000000 UTC,191185
2022-05-04 22:00:00.000000 UTC,168061
2022-05-04 23:00:00.000000 UTC,144964
2022-05-05 00:00:00.000000 UTC,145545
2022-05-05 01:00:00.000000 UTC,141512
2022-05-05 02:00:00.000000 UTC,105981
2022-05-05 03:00:00.000000 UTC,145214
2022-05-05 04:00:00.000000 UTC,155881
2022-05-05 05:00:00.000000 UTC,185268
2022-05-05 06:00:00.000000 UTC,252680
2022-05-05 07:00:00.000000 UTC,207582
2022-05-05 08:00:00.000000 UTC,186620
2022-05-05 09:00:00.000000 UTC,183583
2022-05-05 10:00:00.000000 UTC,145694
2022-05-05 11:00:00.000000 UTC,126919
2022-05-05 12:00:00.000000 UTC,95541
2022-05-05 13:00:00.000000 UTC,190671
2022-05-05 14:00:00.000000 UTC,197461
2022-05-05 15:00:00.000000 UTC,154630
2022-05-05 16:00:00.000000 UTC,168992
2022-05-05 17:00:00.000000 UTC,150281
2022-05-05 18:00:00.000000 UTC,120438
2022-05-05 19:00:00.000000 UTC,136689
2022-05-05 20:00:00.000000 UTC,141399
2022-05-05 21:00:00.000000 UTC,117076
2022-05-05 22:00:00.000000 UTC,126126
2022-05-05 23:00:00.000000 UTC,187703
2022-05-06 00:00:00.000000 UTC,204943
2022-05-06 01:00:00.000000 UTC,164383
2022-05-06 02:00:00.000000 UTC,136935
2022-05-06 03:00:00.000000 UTC,231131
2022-05-06 04:00:00.000000 UTC,246101
2022-05-06 05:00:00.000000 UTC,184151
2022-05-06 06:00:00.000000 UTC,169988
2022-05-06 07:00:00.000000 UTC,193515
2022-05-06 08:00:00.000000 UTC,157153
2022-05-06 09:00:00.000000 UTC,152434
2022-05-06 10:00:00.000000 UTC,224681
2022-05-06 11:00:00.000000 UTC,181930
2022-05-06 12:00:00.000000 UTC,180030
2022-05-06 13:00:00.000000 UTC,162905
2022-05-06 14:00:00.000000 UTC,154632
2022-05-06 15:00:00.000000 UTC,155606
2022-05-06 16:00:00.000000 UTC,201210
2022-05-06 17:00:00.000000 UTC,139768
2022-05-06 18:00:00.000000 UTC,142930
2022-05-06 19:00:00.000000 UTC,123189
2022-05-06 20:00:00.000000 UTC,155832
2022-05-06 21:00:00.000000 UTC,124960
2022-05-06 22:00:00.000000 UTC,97852
2022-05-06 23:00:00.000000 UTC,93781
2022-05-07 00:00:00.000000 UTC,186569
2022-05-07 01:00:00.000000 UTC,143634
2022-05-07 02:00:00.000000 UTC,259851
2022-05-07 03:00:00.000000 UTC,226037
2022-05-07 04:00:00.000000 UTC,180157
2022-05-07 05:00:00.000000 UTC,192627
2022-05-07 06:00:00.000000 UTC,206804
2022-05-07 07:00:00.000000 UTC,196347
2022-05-07 08:00:00.000000 UTC,207048
2022-05-07 09:00:00.000000 UTC,250477
2022-05-07 10:00:00.000000 UTC,260633
2022-05-07 11:00:00.000000 UTC,238409
2022-05-07 12:00:00.000000 UTC,134333
2022-05-07 13:00:00.000000 UTC,183195
2022-05-07 14:00:00.000000 UTC,115377
2022-05-07 15:00:00.000000 UTC,92484
2022-05-07 16:00:00.000000 UTC,113413
